,Recording_ID,Dan,Shelby
1,780410,1,1
2,780189,2,3
3,780188,2,3
4,739529,1,2
5,726829,3,3
6,718994,4,2
7,718993,1,1
8,615910,1,1
9,615909,1,1
10,608584,3,4
11,522379,1,2
12,486574,1,2
13,399979,1,1
14,399950,1,1
15,351743,1,2
16,337884,1,1
17,336131,3,2
18,336129,3,2
19,300105,1,3
20,300104,3,3
21,237571,2,3
22,811150,3,3
23,810996,5,4
24,810995,2,4
25,792197,5,5
26,792194,5,6
27,792193,5,5
28,779358,1,2
29,762107,3,4
30,726828,5,5
31,718997,2,2
32,718996,3,3
33,718995,3,4
34,709886,4,5
35,706519,3,3
36,700647,1,2
37,692106,4,4
38,690366,3,4
39,690136,5,4
40,679785,3,4
41,621765,3,4
42,621416,3,4
43,595802,2,5
44,591478,5,4
45,525298,5,4
46,525272,4,5
47,524395,2,3
48,524394,2,3
49,514296,4,5
50,514216,4,3
51,514164,3,5
52,504215,4,4
53,498547,5,6
54,498546,5,6
55,422280,1,3
56,401269,1,2
57,397912,4,3
58,397448,3,5
59,397447,2,5
60,389041,2,3
61,347516,5,6
62,347514,5,6
63,347513,5,6
64,337885,3,3
65,334108,3,2
66,328695,5,6
67,302964,4,5
68,302962,5,6
69,289343,2,2
70,288123,3,3
71,283230,1,2
72,280039,3,3
73,266329,1,2
74,265154,5,6
75,265153,5,6
76,264908,2,3
77,237570,3,4
78,233906,4,4
79,233905,3,2
80,233904,2,2
81,200575,3,3
82,179668,4,5
83,169673,3,5
84,164104,2,2
85,138030,3,4
86,137080,3,5
87,125134,2,2
88,125133,3,2
89,125132,4,2
90,115262,3,3
91,115261,2,4
92,99171,5,4
93,99170,5,5
94,99169,4,4
95,99168,2,4
96,99167,4,6
97,48244,3,2
98,43706,2,3
99,689709,5,6
100,539541,5,6
101,516111,3,5
102,514165,5,6
103,508800,3,4
104,460517,5,4
105,460515,3,5
106,413122,2,4
107,404370,2,3
108,397560,5,6
109,396811,5,5
110,396810,5,5
111,348764,4,4
112,316015,5,6
113,295582,5,5
114,289342,2,2
115,288081,5,4
116,285391,5,6
117,205693,5,5
118,205582,5,6
119,196096,2,4
120,157007,5,6
121,138032,4,4
122,138027,5,5
123,118454,5,5
124,99166,4,6
125,99165,3,5
126,95664,2,3
127,78569,4,5
128,397446,5,6
129,359007,5,6
130,350089,2,1
131,77337,5,6
132,591054881,4,4
133,591043571,4,4
134,591043561,5,5
135,589324831,3,3
136,589188471,6,3
137,589188481,6,3
138,582801601,5,3
139,580347481,6,6
140,572207261,5,4
141,572200561,5,5
142,570673831,3,2
143,567357981,5,2
144,542518881,5,5
145,540178801,4,4
146,531816331,6,4
147,527839271,3,4
148,526913321,6,5
149,521622441,3,4
150,520561801,6,6
151,512844891,3,3
152,511255421,3,2
153,511198111,3,2
154,511054001,1,1
155,511054011,1,1
156,509934691,2,2
157,497892441,6,6
158,490429841,5,4
159,486770851,3,3
160,470071531,6,6
161,467477231,2,2
162,437372801,1,1
163,437048191,2,1
164,437044471,2,2
165,437044401,3,3
166,434335111,4,3
167,413629961,4,4
168,401346951,3,5
169,401346941,5,5
170,397131791,4,4
171,391285271,4,3
172,390677901,5,3
173,282549441,4,4
174,282549031,5,5
175,282547731,3,3
176,282274151,5,5
177,276078071,5,5
178,279931,4,5
179,278801,3,2
180,276509,3,2
181,276508,2,2
182,275876,4,3
183,214385941,2,2
184,203945201,3,3
185,203940911,6,6
186,203940901,6,6
187,203920961,3,3
188,203917681,3,3
189,184285571,4,4
190,181392571,3,3
191,172074821,5,6
192,144126771,5,6
193,144126231,3,3
194,144126211,4,4
195,141218081,5,5
196,137709711,5,6
197,133737341,5,4
198,236965,3,3
199,236956,5,5
200,122295451,3,1
201,83863761,2,2
202,72049021,6,3
203,524089,2,2
204,524069,1,1
205,212429,3,3
206,212424,5,4
207,212423,5,4
208,176521,5,5
209,147035,2,2
210,147008,3,2
211,146973,4,3
212,146943,3,4
213,146910,5,5
214,94656,1,2
215,87341,3,3
216,83213,2,2
217,72084,5,4
218,58625,3,3
219,53048,5,6
220,53029,5,5
221,51431,1,1
222,26082,2,2
223,23309,4,4
224,23179,1,2
225,23167,1,1
226,17983,2,2
227,8599,5,6
228,8598,1,2
229,8597,2,2
230,8596,1,1
231,8595,3,3
232,1065,1,1
233,24226951,6,4
234,24216701,5,4
235,24116811,3,2
